episode,loss,choice_loss,recon_loss,entropy_loss,test_acc,learned_acc,nonlearned_acc,mean_gate,mean_abs_score
0,0.6518400311470032,0.6003461480140686,0.09636584669351578,0.6612386703491211,0.6785714030265808,0.8125,0.625,0.6064825057983398,0.1537446230649948
1,0.7028946280479431,0.6360122561454773,0.12714752554893494,0.6607497930526733,0.6696428656578064,0.71875,0.6499999761581421,0.6352177858352661,0.1754816323518753
2,0.6983519792556763,0.6132856607437134,0.16346076130867004,0.6664101481437683,0.7321428656578064,0.8125,0.699999988079071,0.6305574178695679,0.1614682972431183
3,0.7442837357521057,0.6696456670761108,0.14250221848487854,0.6769368052482605,0.5714285969734192,0.71875,0.512499988079071,0.6420254707336426,0.11525947600603104
4,0.6496012806892395,0.5983349084854126,0.09577307850122452,0.6754682660102844,0.75,0.75,0.75,0.6523000597953796,0.1233019232749939
5,0.7530619502067566,0.6737290024757385,0.15190638601779938,0.6754673719406128,0.5714285969734192,0.6875,0.5249999761581421,0.6260033845901489,0.13564056158065796
6,0.7199388742446899,0.6645323634147644,0.10407010465860367,0.6737405061721802,0.5089285969734192,0.5625,0.48750001192092896,0.6649812459945679,0.12197133153676987
7,0.6942374110221863,0.6373386383056641,0.10701871663331985,0.6774367094039917,0.6517857313156128,0.71875,0.625,0.6465777158737183,0.11775784939527512
8,0.7085000276565552,0.6328431367874146,0.14465893805027008,0.6646619439125061,0.6428571343421936,0.59375,0.6625000238418579,0.6497926712036133,0.16399796307086945
9,0.6865171194076538,0.6184832453727722,0.1293431520462036,0.6718511581420898,0.7053571343421936,0.78125,0.675000011920929,0.63377845287323,0.1407615691423416
10,0.724010705947876,0.647006630897522,0.14739680290222168,0.6601538062095642,0.625,0.78125,0.5625,0.663284957408905,0.17401745915412903
11,0.6742323637008667,0.5991579294204712,0.14349766075611115,0.6642822623252869,0.7321428656578064,0.84375,0.6875,0.6269239783287048,0.1663336157798767
12,0.7403021454811096,0.643422544002533,0.18702653050422668,0.6726844906806946,0.6607142686843872,0.71875,0.637499988079071,0.6449754238128662,0.14167843759059906
13,0.7174109220504761,0.6495914459228516,0.12888246774673462,0.6751552224159241,0.6339285969734192,0.53125,0.675000011920929,0.6304372549057007,0.13075833022594452
14,0.6831150054931641,0.6379721760749817,0.08355063199996948,0.6729310750961304,0.6071428656578064,0.6875,0.574999988079071,0.6209736466407776,0.14216099679470062
15,0.7648997902870178,0.6954506635665894,0.13213863968849182,0.67546546459198,0.5089285969734192,0.625,0.4625000059604645,0.6397342681884766,0.12166909873485565
16,0.7075088620185852,0.6492613554000854,0.10981640219688416,0.6670898795127869,0.6071428656578064,0.71875,0.5625,0.6595319509506226,0.15446737408638
17,0.7603275775909424,0.6864271759986877,0.1410500556230545,0.6745462417602539,0.6339285969734192,0.53125,0.675000011920929,0.6632041335105896,0.13519206643104553
18,0.7463105916976929,0.6630334258079529,0.15999937057495117,0.6543442606925964,0.5982142686843872,0.75,0.5375000238418579,0.6461061239242554,0.18729421496391296
19,0.7053991556167603,0.6279237866401672,0.14842720329761505,0.6510776877403259,0.5982142686843872,0.65625,0.574999988079071,0.6399204730987549,0.19188210368156433
