subject,order_low_to_high,kendall_tau_with_true,pair_accuracy_mean,learned_accuracy,nonlearned_accuracy,self_consistency,circular_triads,consistent_error_pairs_80pct,consistent_error_pairs_100pct,resource,posterior_entropy,chosen_relative_log_posterior
1,ACDBEGFH,0.7857142857142857,0.8714285492897034,0.862500011920929,0.875,1.0,0,3,2,1.6939619779586792,4.493594646453857,-3.0013256072998047
2,ADBEFCHG,0.6428571428571429,0.824999988079071,0.987500011920929,0.7600000500679016,1.0,0,5,3,1.10257887840271,5.869940280914307,-2.34041690826416
3,ABDCEGFH,0.8571428571428571,0.9107142686843872,0.9750000238418579,0.8850000500679016,1.0,0,2,0,1.6556354761123657,5.350466728210449,-1.6146068572998047
4,BADECFGH,0.7857142857142857,0.8571428060531616,0.987500011920929,0.8050000071525574,1.0,0,2,1,0.9682455658912659,6.2334675788879395,-1.4028472900390625
5,ABDCEGFH,0.8571428571428571,0.9035714864730835,0.9750000238418579,0.875,1.0,0,2,0,1.2245148420333862,5.474931716918945,-1.6534395217895508
6,BACDEFGH,0.9285714285714286,0.9464284777641296,1.0,0.925000011920929,1.0,0,1,1,0.34831884503364563,8.0789155960083,-0.16457819938659668
7,ADCEFBGH,0.6428571428571429,0.8035714030265808,0.7250000238418579,0.8349999189376831,1.0,0,5,3,1.1714359521865845,5.213146209716797,-6.189986228942871
8,BACEDFGH,0.8571428571428571,0.9178571105003357,0.9750000238418579,0.8949999809265137,1.0,0,1,0,1.4659745693206787,4.790220260620117,-1.135000228881836
9,ABCEDFHG,0.8571428571428571,0.9035714268684387,0.9624999761581421,0.8799999356269836,1.0,0,1,0,0.8841778635978699,5.881834030151367,-0.5051918029785156
10,BADECGHF,0.6428571428571429,0.8035715222358704,0.987500011920929,0.7299999594688416,1.0,0,5,3,0.9428475499153137,6.354947090148926,-2.3877015113830566
11,ABCDFGEH,0.8571428571428571,0.9107142686843872,0.949999988079071,0.8950001001358032,1.0,0,2,0,0.5114883780479431,6.801835536956787,-0.9195008277893066
12,ADFEGCBH,0.2857142857142857,0.6571428179740906,0.675000011920929,0.6499999761581421,1.0,0,9,7,0.3919680118560791,7.996379375457764,-2.5239460468292236
