stage,attempt,overall_accuracy,learned_accuracy,nonlearned_accuracy,stable_error_80_ratio,stable_error_100_ratio,self_consistency,circular_triads,inter_subject_tau,bimodal_pairs,brief_note
01_score_coordinate,A_evidence,0.621196663974748,0.6316558471457525,0.6170129907063463,0.09090909090909091,0.0,0.7629870129870131,4.740259740259741,0.9534713406893859,,score-coordinate / parameter sweep
01_score_coordinate,B_moderate,0.5993506531395253,0.6308441598621475,0.5867532504504764,0.11688311688311688,0.012987012987012988,0.7311688311688311,5.376623376623376,0.8014842300556585,,score-coordinate / parameter sweep
01_score_coordinate,C_high_noise_train,0.6219387779976474,0.6537337686818141,0.6092207817239808,0.37662337662337664,0.07792207792207792,0.8506493506493507,2.987012987012987,0.7510985255346156,,score-coordinate / parameter sweep
01_score_coordinate,D_best_train,0.6128478679073377,0.637175326925013,0.6031168843002676,0.6753246753246753,0.33766233766233766,0.8551948051948053,2.896103896103896,0.23171565276828435,,score-coordinate / parameter sweep
01_score_coordinate,sweep_C_eval_original_recalc,0.59615028230387,0.6165584450369919,0.5879870172106213,0.18181818181818182,0.012987012987012988,0.7240259740259739,5.51948051948052,0.5563421540865149,,score-coordinate / parameter sweep
01_score_coordinate,sweep_D_beta8,0.647680892607332,0.6952922082953639,0.6286363663321192,0.12987012987012986,0.05194805194805195,0.868831168831169,2.6233766233766236,0.6727370373986916,,score-coordinate / parameter sweep
01_score_coordinate,sweep_E_beta16,0.6584879427954748,0.6907467543595023,0.6455844181698638,0.2987012987012987,0.03896103896103896,0.8850649350649351,2.2987012987012987,0.6238160335904698,,score-coordinate / parameter sweep
01_score_coordinate,sweep_F_more_idio_beta16,0.5916048264431599,0.6444805217906833,0.5704545483041507,0.6883116883116883,0.3246753246753247,0.8077922077922078,3.844155844155844,0.3298017771701982,,score-coordinate / parameter sweep
01_score_coordinate,sweep_G_strong_prior_beta16,0.6418831177429056,0.6689935072821069,0.6310389619272251,0.5454545454545454,0.22077922077922077,0.907792207792208,1.844155844155844,0.36158578263841423,,score-coordinate / parameter sweep
02_memory_forgetting,M1_edge_block_balanced,0.5966604865036891,0.6183441592041742,0.587987017423495,0.15584415584415584,0.03896103896103896,0.7207792207792207,5.584415584415584,0.5138658334147056,,edge memory/forgetting/interference
02_memory_forgetting,M1_edge_block_balanced_beta30,0.6485621548829693,0.6657467547852498,0.6416883149220571,0.12987012987012986,0.025974025974025976,0.8370129870129871,3.25974025974026,0.6897763890245093,,edge memory/forgetting/interference
02_memory_forgetting,M2_strong_forgetting,0.5577922123026428,0.5358766276607072,0.566558446159417,0.4155844155844156,0.1038961038961039,0.6798701298701298,6.402597402597403,0.3485987696514013,,edge memory/forgetting/interference
02_memory_forgetting,M2_strong_forgetting_beta30,0.5544990759398201,0.5727272761090623,0.5472077958721232,0.6103896103896104,0.2077922077922078,0.8,4.0,0.5735279757836149,,edge memory/forgetting/interference
02_memory_forgetting,M3_edge_online,0.6590445285424562,0.6977272743310827,0.6435714302270057,0.19480519480519481,0.012987012987012988,0.9162337662337664,1.6753246753246753,0.8235035641050679,,edge memory/forgetting/interference
02_memory_forgetting,M3_edge_online_beta30,0.6500927664733497,0.6435064959230942,0.6527272746934519,0.14285714285714285,0.03896103896103896,0.8441558441558441,3.116883116883117,0.7193145200663998,,edge memory/forgetting/interference
02_memory_forgetting,M4_edge_hybrid,0.6830705020659653,0.7392857144889119,0.6605844170967867,0.18181818181818182,0.025974025974025976,0.9181818181818184,1.6363636363636365,0.8003612928424959,,edge memory/forgetting/interference
02_memory_forgetting,M4_edge_hybrid_beta30,0.6742578857234491,0.7373376624634513,0.6490259750274482,0.45454545454545453,0.12987012987012986,0.9188311688311688,1.6233766233766234,0.8127136021872864,,edge memory/forgetting/interference
02_memory_forgetting,M5_memory_no_forget,0.6512059391941011,0.6694805218124544,0.6438961061467599,0.2077922077922078,0.03896103896103896,0.888961038961039,2.220779220779221,0.8687139927741432,,edge memory/forgetting/interference
03_subject_reliability,exp_R1_attn_moderate_hybrid,0.6222170714482471,0.6529220806845983,0.6099350677537067,0.2857142857142857,,0.8,4.0,0.4313543599257886,,subject-specific attention/reliability
03_subject_reliability,exp_R2_attn_strong_hybrid,0.5650742148569265,0.6043831201560506,0.5493506527372769,0.6233766233766234,,0.7935064935064934,4.12987012987013,0.1620935455521922,,subject-specific attention/reliability
03_subject_reliability,exp_R3_attn_anchor_distance,0.6667903533312518,0.7287337654451658,0.6420129884856862,0.23376623376623376,,0.9097402597402598,1.8051948051948052,0.6105849038179866,,subject-specific attention/reliability
03_subject_reliability,exp_R4_attn_online_short,0.6986085350982886,0.7316558440276361,0.6853896115265496,0.15584415584415584,,0.922077922077922,1.5584415584415585,0.7188751098525535,,subject-specific attention/reliability
03_subject_reliability,exp_R5_attn_lowtemp_commit_short,0.5969387784337622,0.5813311720266938,0.6031818209965895,0.6493506493506493,,0.8480519480519481,3.038961038961039,0.38365394004491743,,subject-specific attention/reliability
04_modular_memory,exp_T0_r5_baseline,0.6463358090751578,0.6865259747855462,0.6302597427910025,0.3116883116883117,0.03896103896103896,0.851948051948052,2.961038961038961,0.4929694365784591,,reconsolidation/schema encoding/replay
04_modular_memory,exp_T1_recon_moderate,0.6861317263836653,0.7139610388110598,0.6750000014127074,0.22077922077922077,0.0,0.9129870129870129,1.7402597402597402,0.6246460306610683,,reconsolidation/schema encoding/replay
04_modular_memory,exp_T2_recon_strong,0.5923005592299138,0.6360389628967682,0.5748051977631721,0.6363636363636364,0.22077922077922077,0.8383116883116882,3.2337662337662336,0.4181232301533054,,reconsolidation/schema encoding/replay
04_modular_memory,exp_T3_schema_encoding,0.6353896119094459,0.7090909093763534,0.6059090929226829,0.5714285714285714,0.11688311688311688,0.8824675324675327,2.3506493506493507,0.5529733424470267,,reconsolidation/schema encoding/replay
04_modular_memory,exp_T4_replay,0.6448979605307219,0.6771103897095694,0.6320129888591828,0.4155844155844156,0.14285714285714285,0.8883116883116884,2.2337662337662336,0.46958304853041694,,reconsolidation/schema encoding/replay
04_modular_memory,exp_T5_recon_replay,0.6651669767320654,0.6904220777358134,0.6550649363305662,0.35064935064935066,0.03896103896103896,0.8837662337662335,2.324675324675325,0.5249487354750513,,reconsolidation/schema encoding/replay
04_modular_memory,exp_T6_encoding_recon,0.6474489812568134,0.6758116888269395,0.636103898228763,0.2857142857142857,0.05194805194805195,0.8844155844155845,2.311688311688312,0.4762230250952056,,reconsolidation/schema encoding/replay
04_modular_memory,exp_T7_replay_accuracy,0.6589517641867855,0.6879870140586387,0.6473376642380442,0.23376623376623376,0.03896103896103896,0.8707792207792208,2.5844155844155843,0.5963284835465287,,reconsolidation/schema encoding/replay
05_active_rank_sampler,active_rank_hypothesis_sampler,0.8540352582931519,0.9162337779998779,0.8291558623313904,0.948051948051948,0.6883116883116883,1.0,0.0,0.6250366175178206,16,"strong behavior match, but hand-designed attractor and manual salience"
06_meta_plastic_rnn_attractor,meta_trained_plastic_RNN_rank_attractor_120ep,0.8312152028083801,0.9042207598686218,0.8020129799842834,0.8831168831168831,0.7142857142857143,1.0,0.0,0.5476027731666829,22,differentiable attractor attached to plastic RNN
07_modular_ablation_large3600,distance_rnn_300,0.5621985197067261,0.5840908885002136,0.5534415245056152,1.0,1.0,1.0,0.0,0.013719363343423493,28,larger ablation test; RNN necessity unstable
07_modular_ablation_large3600,distance_no_rnn_300,0.525834858417511,0.5644480586051941,0.5103896260261536,1.0,1.0,1.0,0.0,0.07679914070891515,28,larger ablation test; RNN necessity unstable
07_modular_ablation_large3600,distance_no_plasticity_300,0.5546382069587708,0.6042208075523376,0.5348052382469177,1.0,1.0,1.0,0.0,0.030856361683429354,28,larger ablation test; RNN necessity unstable
07_modular_ablation_large3600,distance_constant_reliability_300,0.6470315456390381,0.8261362910270691,0.5753896236419678,1.0,1.0,1.0,0.0,0.3692510497021776,25,larger ablation test; RNN necessity unstable
07_modular_ablation_large3600,distance_posterior_mean_300,0.541465699672699,0.5811688303947449,0.5255844593048096,0.6363636363636364,0.025974025974025976,0.5168831168831167,9.662337662337663,0.013719363343423493,0,larger ablation test; RNN necessity unstable
07_modular_ablation_large3600,raw_bars_rnn_100,0.48005566000938416,0.5162337422370911,0.4655844271183014,1.0,1.0,1.0,0.0,0.09398496240601503,28,larger ablation test; RNN necessity unstable
07_modular_ablation_large3600,raw_bars_no_rnn_100,0.5165120959281921,0.5980519652366638,0.4838961064815521,1.0,1.0,1.0,0.0,0.10331022361097549,28,larger ablation test; RNN necessity unstable
07_modular_ablation_large3600,full_suite_distance_rnn_120,0.5219388008117676,0.48603901267051697,0.5362986922264099,1.0,1.0,1.0,0.0,0.053168635875402784,28,larger ablation test; RNN necessity unstable
07_modular_ablation_large3600,full_suite_distance_no_rnn_120,0.43010202050209045,0.3673701286315918,0.4551948010921478,1.0,1.0,1.0,0.0,0.5098134947759008,23,larger ablation test; RNN necessity unstable
08_hidden_aux_targets,general_aux_constant,0.6272263526916504,0.7836039066314697,0.5646753311157227,1.0,1.0,1.0,0.0,0.18879992188262865,27,auxiliary hidden targets; did not restore RNN necessity
08_hidden_aux_targets,general_aux_no_rnn,0.6790816187858582,0.8698052763938904,0.6027922630310059,1.0,1.0,1.0,0.0,0.4266673176447613,24,auxiliary hidden targets; did not restore RNN necessity
08_hidden_aux_targets,general_aux_posterior_mean,0.6218923926353455,0.768831193447113,0.5631168484687805,0.948051948051948,0.6103896103896104,0.8798701298701299,2.4025974025974026,0.17293233082706766,14,auxiliary hidden targets; did not restore RNN necessity
08_hidden_aux_targets,general_aux_rnn,0.63246750831604,0.7676948308944702,0.5783766508102417,1.0,1.0,1.0,0.0,0.17293233082706766,28,auxiliary hidden targets; did not restore RNN necessity
08_hidden_aux_targets,distance_aux_constant_reliability,0.5827922224998474,0.7189934849739075,0.5283117294311523,1.0,1.0,1.0,0.0,0.2672102333756469,26,auxiliary hidden targets; did not restore RNN necessity
08_hidden_aux_targets,distance_aux_no_plasticity,0.5384972095489502,0.5915584564208984,0.5172727108001709,1.0,1.0,1.0,0.0,0.10355434039644566,28,auxiliary hidden targets; did not restore RNN necessity
