Item1,Item2,alpha,beta,distribution_type
1,2,0.5424054161663711,0.25894148648490894,bimodal
1,3,0.658899979823424,0.26263590010114396,bimodal
1,4,1.1302289093408266,0.2942148264708603,highAccu
1,5,1.5200946445576478,0.3040048269484429,highAccu
1,6,8.254460933978395,0.49081250421817596,highAccu
1,7,1.1143948986404308,0.25706099486244705,highAccu
1,8,21.15745339134911,0.649904795329868,highAccu
2,3,1.2904707920985594,0.35543437273219,highAccu
2,4,0.51519563378023,0.2614084995787836,bimodal
2,5,1.7913801903298028,0.3213079571008287,highAccu
2,6,0.8969416663549595,0.2745014076794282,bimodal
2,7,1.7300112660195561,0.28168556619501506,highAccu
2,8,43.35115498011588,0.3685188470096727,highAccu
3,4,0.5001120664916806,0.32774356401957105,bimodal
3,5,0.978910090833072,0.2877812345564952,bimodal
3,6,0.7343812176943579,0.2730044539515868,bimodal
3,7,0.954115534205283,0.268037556117449,bimodal
3,8,39.390497623390424,0.9322634223607094,highAccu
4,5,0.4470896657729705,0.29792052450633616,bimodal
4,6,1.4024542765901247,0.331146130246672,highAccu
4,7,0.811941836109195,0.2689564616501265,bimodal
4,8,1.9394811562442802,0.3004720158284837,highAccu
5,6,0.44218164020237644,0.30882499474973435,bimodal
5,7,0.393717774959477,0.27212348336867476,bimodal
5,8,10.621688093005778,0.5719681876590633,highAccu
6,7,0.3856898302605816,0.29034943279795633,bimodal
6,8,0.8472532766970097,0.27818592644936957,bimodal
7,8,0.5488935980409732,0.26457234178936095,bimodal
