ID,Group
1,Self_consistent
2,Self_consistent
3,Self_consistent
4,Self_consistent
5,Self_consistent
6,Self_consistent
7,Self_consistent
8,Self_consistent
9,Self_inconsistent
10,Self_consistent
11,Self_inconsistent
12,Self_consistent
13,Self_consistent
14,Correct rank
15,Correct rank
16,Self_consistent
17,Self_consistent
18,Self_consistent
19,Correct rank
20,Self_consistent
21,Self_consistent
22,Self_consistent
23,Self_consistent
24,Self_consistent
25,Self_consistent
26,Self_consistent
27,Self_inconsistent
28,Self_consistent
29,Self_consistent
30,Self_inconsistent
31,Self_consistent
32,Self_consistent
33,Self_consistent
34,Self_consistent
35,Self_consistent
36,Self_consistent
37,Self_consistent
38,Self_inconsistent
39,Self_consistent
40,Self_consistent
41,Self_consistent
42,Self_consistent
43,Self_consistent
44,Self_consistent
45,Self_consistent
46,Self_consistent
47,Self_consistent
48,Self_consistent
49,Self_consistent
50,Correct rank
51,Self_consistent
52,Self_consistent
53,Self_consistent
54,Self_consistent
55,Self_consistent
56,Correct rank
57,Self_consistent
58,Self_consistent
59,Correct rank
60,Self_consistent
61,Self_consistent
62,Correct rank
63,Self_consistent
64,Self_consistent
65,Self_consistent
66,Self_consistent
67,Self_consistent
68,Self_consistent
69,Self_consistent
70,Correct rank
71,Self_consistent
72,Self_consistent
73,Self_consistent
74,Self_consistent
75,Self_consistent
76,Self_consistent
77,Self_consistent
