id,trial,block,film_choose_index,film_index_1,film_index_2,r_or_w
1,1,1,6,4,6,1
1,2,1,3,1,3,1
1,3,1,5,3,5,1
1,4,1,3,2,3,1
1,5,1,4,4,5,0
1,6,1,8,2,8,1
1,7,1,7,3,7,1
1,8,1,2,1,2,1
1,9,1,4,1,4,1
1,10,1,7,2,7,1
1,11,1,5,1,5,1
1,12,1,7,7,8,0
1,13,1,6,6,8,0
1,14,1,8,1,8,1
1,15,1,7,5,7,1
1,16,1,6,5,6,1
1,17,1,7,4,7,1
1,18,1,4,2,4,1
1,19,1,5,2,5,1
1,20,1,4,3,4,1
1,21,1,8,3,8,1
1,22,1,7,1,7,1
1,23,1,6,3,6,1
1,24,1,6,1,6,1
1,25,1,8,5,8,1
1,26,1,4,4,8,0
1,27,1,6,2,6,1
1,28,1,7,6,7,1
1,1,2,3,2,3,1
1,2,2,6,2,6,1
1,3,2,7,7,8,0
1,4,2,3,1,3,1
1,5,2,7,3,7,1
1,6,2,6,6,8,0
1,7,2,4,2,4,1
1,8,2,6,1,6,1
1,9,2,2,1,2,1
1,10,2,7,6,7,1
1,11,2,3,3,5,0
1,12,2,6,5,6,1
1,13,2,8,3,8,1
1,14,2,4,4,5,0
1,15,2,7,1,7,1
1,16,2,8,5,8,1
1,17,2,6,3,6,1
1,18,2,4,1,4,1
1,19,2,4,3,4,1
1,20,2,7,5,7,1
1,21,2,8,4,8,1
1,22,2,2,2,5,0
1,23,2,7,4,7,1
1,24,2,5,1,5,1
1,25,2,6,4,6,1
1,26,2,7,2,7,1
1,27,2,8,2,8,1
1,28,2,8,1,8,1
1,1,3,5,1,5,1
1,2,3,4,2,4,1
1,3,3,3,2,3,1
1,4,3,8,3,8,1
1,5,3,7,3,7,1
1,6,3,4,1,4,1
1,7,3,4,3,4,1
1,8,3,2,1,2,1
1,9,3,6,3,6,1
1,10,3,4,4,8,0
1,11,3,7,1,7,1
1,12,3,8,5,8,1
1,13,3,5,3,5,1
1,14,3,6,1,6,1
1,15,3,8,1,8,1
1,16,3,7,2,7,1
1,17,3,6,6,8,0
1,18,3,8,2,8,1
1,19,3,7,7,8,0
1,20,3,6,5,6,1
1,21,3,3,1,3,1
1,22,3,7,4,7,1
1,23,3,6,2,6,1
1,24,3,7,5,7,1
1,25,3,5,2,5,1
1,26,3,6,4,6,1
1,27,3,6,6,7,0
1,28,3,4,4,5,0
1,1,4,8,1,8,1
1,2,4,3,1,3,1
1,3,4,5,3,5,1
1,4,4,4,4,8,0
1,5,4,5,1,5,1
1,6,4,4,3,4,1
1,7,4,7,2,7,1
1,8,4,3,2,3,1
1,9,4,2,1,2,1
1,10,4,8,5,8,1
1,11,4,4,2,4,1
1,12,4,8,3,8,1
1,13,4,6,1,6,1
1,14,4,6,4,6,1
1,15,4,7,4,7,1
1,16,4,7,1,7,1
1,17,4,7,3,7,1
1,18,4,6,2,6,1
1,19,4,5,2,5,1
1,20,4,7,7,8,0
1,21,4,4,1,4,1
1,22,4,8,2,8,1
1,23,4,7,5,7,1
1,24,4,6,5,6,1
1,25,4,6,3,6,1
1,26,4,4,4,5,0
1,27,4,6,6,8,0
1,28,4,6,6,7,0
1,1,5,6,4,6,1
1,2,5,7,4,7,1
1,3,5,4,4,5,0
1,4,5,6,5,6,1
1,5,5,7,3,7,1
1,6,5,6,6,7,0
1,7,5,6,3,6,1
1,8,5,6,1,6,1
1,9,5,5,1,5,1
1,10,5,6,2,6,1
1,11,5,7,1,7,1
1,12,5,8,5,8,1
1,13,5,3,2,3,1
1,14,5,4,4,8,0
1,15,5,5,2,5,1
1,16,5,3,1,3,1
1,17,5,4,1,4,1
1,18,5,8,3,8,1
1,19,5,5,3,5,1
1,20,5,2,1,2,1
1,21,5,7,5,7,1
1,22,5,8,1,8,1
1,23,5,4,2,4,1
1,24,5,6,6,8,0
1,25,5,7,2,7,1
1,26,5,4,3,4,1
1,27,5,7,7,8,0
1,28,5,8,2,8,1
1,1,6,7,4,7,1
1,2,6,6,1,6,1
1,3,6,4,4,8,0
1,4,6,4,2,4,1
1,5,6,6,6,8,0
1,6,6,7,2,7,1
1,7,6,8,3,8,1
1,8,6,8,2,8,1
1,9,6,7,7,8,0
1,10,6,4,3,4,1
1,11,6,8,1,8,1
1,12,6,6,4,6,1
1,13,6,6,3,6,1
1,14,6,5,2,5,1
1,15,6,4,1,4,1
1,16,6,5,1,5,1
1,17,6,6,2,6,1
1,18,6,3,1,3,1
1,19,6,7,5,7,1
1,20,6,3,2,3,1
1,21,6,7,3,7,1
1,22,6,4,4,5,0
1,23,6,6,5,6,1
1,24,6,2,1,2,1
1,25,6,5,3,5,1
1,26,6,8,5,8,1
1,27,6,7,6,7,1
1,28,6,7,1,7,1
1,1,7,8,5,8,1
1,2,7,6,5,6,1
1,3,7,6,1,6,1
1,4,7,7,1,7,1
1,5,7,4,4,5,0
1,6,7,6,4,6,1
1,7,7,4,4,8,0
1,8,7,6,3,6,1
1,9,7,8,2,8,1
1,10,7,7,4,7,1
1,11,7,2,1,2,1
1,12,7,7,5,7,1
1,13,7,7,2,7,1
1,14,7,3,2,3,1
1,15,7,4,1,4,1
1,16,7,5,2,5,1
1,17,7,5,1,5,1
