id,trial,block,film_choose_index,film_index_1,film_index_2,r_or_w
41,1,1,3,1,3,1
41,2,1,4,1,4,1
41,3,1,8,4,8,1
41,4,1,5,2,5,1
41,5,1,7,3,7,1
41,6,1,6,4,6,1
41,7,1,7,5,7,1
41,8,1,8,5,8,1
41,9,1,7,1,7,1
41,10,1,6,1,6,1
41,11,1,8,6,8,1
41,12,1,7,4,7,1
41,13,1,5,4,5,1
41,14,1,3,2,3,1
41,15,1,7,2,7,1
41,16,1,8,1,8,1
41,17,1,5,3,5,1
41,18,1,7,6,7,1
41,19,1,8,2,8,1
41,20,1,2,1,2,1
41,21,1,4,2,4,1
41,22,1,8,7,8,1
41,23,1,6,3,6,1
41,24,1,8,3,8,1
41,25,1,6,2,6,1
41,26,1,6,5,6,1
41,27,1,4,3,4,1
41,28,1,5,1,5,1
41,1,2,7,4,7,1
41,2,2,3,2,3,1
41,3,2,8,6,8,1
41,4,2,8,3,8,1
41,5,2,5,4,5,1
41,6,2,6,1,6,1
41,7,2,6,2,6,1
41,8,2,3,1,3,1
41,9,2,5,1,5,1
41,10,2,7,3,7,1
41,11,2,2,1,2,1
41,12,2,8,7,8,1
41,13,2,8,2,8,1
41,14,2,4,1,4,1
41,15,2,8,5,8,1
41,16,2,7,6,7,1
41,17,2,6,4,6,1
41,18,2,8,4,8,1
41,19,2,3,3,4,0
41,20,2,8,1,8,1
41,21,2,7,5,7,1
41,22,2,7,1,7,1
41,23,2,7,2,7,1
41,24,2,4,2,4,1
41,25,2,6,3,6,1
41,26,2,6,5,6,1
41,27,2,5,3,5,1
41,28,2,5,2,5,1
41,1,3,4,3,4,1
41,2,3,8,3,8,1
41,3,3,8,7,8,1
41,4,3,7,2,7,1
41,5,3,6,3,6,1
41,6,3,8,4,8,1
41,7,3,2,1,2,1
41,8,3,5,3,5,1
41,9,3,6,2,6,1
41,10,3,7,4,7,1
41,11,3,7,5,7,1
41,12,3,6,4,6,1
41,13,3,8,5,8,1
41,14,3,6,5,6,1
41,15,3,7,1,7,1
41,16,3,4,2,4,1
41,17,3,5,2,5,1
41,18,3,8,2,8,1
41,19,3,3,1,3,1
41,20,3,8,6,8,1
41,21,3,6,1,6,1
41,22,3,4,1,4,1
41,23,3,5,1,5,1
41,24,3,3,2,3,1
41,25,3,7,3,7,1
41,26,3,8,1,8,1
41,27,3,6,6,7,0
41,28,3,5,4,5,1
41,1,4,5,4,5,1
41,2,4,5,1,5,1
41,3,4,7,3,7,1
41,4,4,6,2,6,1
41,5,4,3,1,3,1
41,6,4,4,2,4,1
41,7,4,5,2,5,1
41,8,4,6,3,6,1
41,9,4,3,2,3,1
41,10,4,8,6,8,1
41,11,4,8,2,8,1
41,12,4,8,3,8,1
41,13,4,6,6,7,0
41,14,4,2,1,2,1
41,15,4,7,5,7,1
41,16,4,6,4,6,1
41,17,4,5,3,5,1
41,18,4,8,4,8,1
41,19,4,6,1,6,1
41,20,4,8,1,8,1
41,21,4,6,5,6,1
41,22,4,7,4,7,1
41,23,4,7,2,7,1
41,24,4,4,1,4,1
41,25,4,7,1,7,1
41,26,4,8,5,8,1
41,27,4,8,7,8,1
41,28,4,4,3,4,1
41,1,5,5,4,5,1
41,2,5,6,2,6,1
41,3,5,4,3,4,1
41,4,5,8,4,8,1
41,5,5,8,1,8,1
41,6,5,7,5,7,1
41,7,5,8,3,8,1
41,8,5,7,4,7,1
41,9,5,8,6,8,1
41,10,5,7,1,7,1
41,11,5,4,1,4,1
41,12,5,5,2,5,1
41,13,5,2,1,2,1
41,14,5,6,6,7,0
41,15,5,5,3,5,1
41,16,5,8,2,8,1
41,17,5,3,2,3,1
41,18,5,6,1,6,1
41,19,5,8,5,8,1
41,20,5,5,1,5,1
41,21,5,8,7,8,1
41,22,5,6,5,6,1
41,23,5,7,3,7,1
41,24,5,6,3,6,1
41,25,5,6,4,6,1
41,26,5,4,2,4,1
41,27,5,7,2,7,1
41,28,5,3,1,3,1
41,1,6,8,2,8,1
41,2,6,3,1,3,1
41,3,6,7,4,7,1
41,4,6,6,1,6,1
41,5,6,2,1,2,1
41,6,6,5,4,5,1
41,7,6,6,5,6,1
41,8,6,7,1,7,1
41,9,6,4,1,4,1
41,10,6,3,3,7,0
41,11,6,3,2,3,1
41,12,6,8,7,8,1
41,13,6,7,2,7,1
41,14,6,8,1,8,1
41,15,6,8,3,8,1
41,16,6,5,3,5,1
41,17,6,8,6,8,1
41,18,6,6,2,6,1
41,19,6,4,2,4,1
41,20,6,4,3,4,1
41,21,6,6,4,6,1
41,22,6,6,3,6,1
41,23,6,7,5,7,1
41,24,6,6,6,7,0
41,25,6,8,5,8,1
41,26,6,8,4,8,1
41,27,6,5,1,5,1
41,28,6,5,2,5,1
41,1,7,8,2,8,1
41,2,7,8,1,8,1
41,3,7,5,1,5,1
41,4,7,6,1,6,1
41,5,7,8,6,8,1
41,6,7,7,5,7,1
41,7,7,6,6,7,0
41,8,7,6,5,6,1
41,9,7,4,1,4,1
41,10,7,8,3,8,1
41,11,7,5,2,5,1
41,12,7,8,4,8,1
41,13,7,6,3,6,1
41,14,7,5,3,5,1
41,15,7,6,2,6,1
41,16,7,8,7,8,1
41,17,7,3,2,3,1
41,18,7,7,3,7,1
41,19,7,7,4,7,1
41,20,7,6,4,6,1
41,21,7,2,1,2,1
41,22,7,8,5,8,1
41,23,7,7,2,7,1
41,24,7,4,4,5,0
41,25,7,7,1,7,1
41,26,7,4,3,4,1
41,27,7,3,1,3,1
41,28,7,4,2,4,1
41,1,8,5,2,5,1
41,2,8,8,4,8,1
41,3,8,6,6,7,0
41,4,8,7,2,7,1
41,5,8,3,1,3,1
41,6,8,8,5,8,1
41,7,8,4,1,4,1
41,8,8,8,3,8,1
41,9,8,6,5,6,1
41,10,8,3,2,3,1
41,11,8,6,2,6,1
41,12,8,8,1,8,1
41,13,8,5,3,5,1
41,14,8,7,5,7,1
41,15,8,4,3,4,1
41,16,8,8,7,8,1
41,17,8,7,1,7,1
41,18,8,6,1,6,1
41,19,8,4,2,4,1
41,20,8,6,4,6,1
41,21,8,7,3,7,1
41,22,8,4,4,5,0
41,23,8,6,3,6,1
41,24,8,5,1,5,1
41,25,8,7,4,7,1
41,26,8,8,2,8,1
41,27,8,2,1,2,1
41,28,8,8,6,8,1
41,1,9,4,3,4,1
41,2,9,3,2,3,1
41,3,9,7,4,7,1
41,4,9,8,3,8,1
