episode,loss,loss_objective,train_reward_mean,test_reward_mean,train_perf,test_perf,test_perf_adjacent,test_perf_nonadjacent,train_aux_loss,test_ce_loss,mean_abs_pw
0,0.17118620872497559,4.788356781005859,-0.75,-1.0,0.48125,0.45,0.36363636363636365,0.4773662551440329,0.0,0.0,0.08440818637609482
100,0.5237249732017517,46.19596862792969,-0.875,1.625,0.478125,0.58125,0.5857142857142857,0.58,0.0,0.0,0.07780369371175766
200,0.20328231155872345,9.092217445373535,3.6875,0.375,0.5921875,0.51875,0.5733333333333334,0.5020408163265306,0.0,0.0,0.15951743721961975
300,0.2801608443260193,17.76915168762207,8.9375,2.1875,0.7234375,0.609375,0.5333333333333333,0.6326530612244898,0.0,0.0,3.4501733779907227
400,0.12612982094287872,-0.5792077779769897,14.5,2.25,0.8625,0.6125,0.4574468085106383,0.6769911504424779,0.0,0.0,5.336815357208252
500,0.09447318315505981,-1.9133923053741455,14.75,3.375,0.86875,0.66875,0.625,0.6833333333333333,0.0,0.0,4.877688407897949
600,0.07388196885585785,-2.952780246734619,16.0,3.5,0.9,0.675,0.5822784810126582,0.7053941908713693,0.0,0.0,4.704169273376465
700,-0.05525391548871994,-17.70109748840332,16.0,3.375,0.9,0.66875,0.4642857142857143,0.7415254237288136,0.0,0.0,4.214480400085449
800,0.04596678912639618,-4.261943340301514,16.4375,4.4375,0.9109375,0.721875,0.6190476190476191,0.7584745762711864,0.0,0.0,4.042745590209961
900,-0.14994023740291595,-29.43929100036621,17.375,3.0625,0.934375,0.653125,0.48314606741573035,0.7186147186147186,0.0,0.0,3.7399444580078125
1000,0.028156163170933723,-4.886972904205322,17.5625,4.5,0.9390625,0.725,0.654320987654321,0.7489539748953975,0.0,0.0,3.5026867389678955
1100,-0.02450842224061489,-12.410543441772461,17.5625,4.8125,0.9390625,0.740625,0.6376811594202898,0.7689243027888446,0.0,0.0,3.344040870666504
1200,0.01635603979229927,-5.990484714508057,18.4375,4.875,0.9609375,0.74375,0.6781609195402298,0.7682403433476395,0.0,0.0,3.1251471042633057
1300,0.003452351549640298,-6.811279296875,18.4375,5.125,0.9609375,0.75625,0.627906976744186,0.8034188034188035,0.0,0.0,3.2349374294281006
1400,0.05871466174721718,-0.8691717982292175,18.875,4.875,0.971875,0.74375,0.5257731958762887,0.8385650224215246,0.0,0.0,3.170170545578003
1500,0.018440505489706993,-5.087394714355469,18.9375,4.8125,0.9734375,0.740625,0.6206896551724138,0.7854077253218884,0.0,0.0,3.056837797164917
1600,0.05378393083810806,-0.29389673471450806,19.0,5.375,0.975,0.76875,0.5555555555555556,0.8410041841004184,0.0,0.0,2.9606339931488037
1700,-0.08314166218042374,-18.738996505737305,18.3125,4.0,0.9578125,0.7,0.5454545454545454,0.7489711934156379,0.0,0.0,2.968172550201416
1800,0.007016144692897797,-7.233728408813477,18.3125,4.875,0.9578125,0.74375,0.6172839506172839,0.7866108786610879,0.0,0.0,2.8602702617645264
1900,0.038654353469610214,-1.8861184120178223,19.0,5.4375,0.975,0.771875,0.6444444444444445,0.8217391304347826,0.0,0.0,2.8867268562316895
2000,-0.0769406110048294,-17.32212257385254,18.8125,4.25,0.9703125,0.7125,0.6265060240963856,0.7426160337552743,0.0,0.0,3.0881752967834473
2100,-0.020268186926841736,-9.707505226135254,18.8125,4.9375,0.9703125,0.746875,0.4603174603174603,0.8171206225680934,0.0,0.0,2.8003971576690674
2200,-0.015336812473833561,-8.469173431396484,19.3125,4.75,0.9828125,0.7375,0.4883720930232558,0.8290598290598291,0.0,0.0,2.783076524734497
2300,0.08582575619220734,4.300416946411133,19.125,5.875,0.978125,0.79375,0.6363636363636364,0.853448275862069,0.0,0.0,2.958488702774048
2400,0.0009855828247964382,-5.180600166320801,19.0625,5.375,0.9765625,0.76875,0.5909090909090909,0.8149606299212598,0.0,0.0,2.7448277473449707
2500,0.0023820579517632723,-6.074466228485107,18.75,5.0625,0.96875,0.753125,0.5974025974025974,0.8024691358024691,0.0,0.0,2.689113140106201
2600,0.09567271918058395,6.46212911605835,19.375,6.125,0.984375,0.80625,0.6666666666666666,0.8489795918367347,0.0,0.0,2.667442560195923
2700,-0.0454755574464798,-12.447173118591309,19.25,5.0,0.98125,0.75,0.5277777777777778,0.8145161290322581,0.0,0.0,2.5690276622772217
2800,0.10385596752166748,6.724997043609619,19.4375,6.125,0.9859375,0.80625,0.6582278481012658,0.8547717842323651,0.0,0.0,2.793288469314575
2900,-0.0012022851733490825,-5.684703826904297,19.5,5.125,0.9875,0.75625,0.5416666666666666,0.8185483870967742,0.0,0.0,2.4622719287872314
2999,0.10529924184083939,7.659270286560059,19.375,6.1875,0.984375,0.809375,0.6363636363636364,0.8641975308641975,0.0,0.0,2.4984610080718994
