episode,loss,loss_objective,train_reward_mean,test_reward_mean,train_perf,test_perf,test_perf_adjacent,test_perf_nonadjacent,train_aux_loss,test_ce_loss,mean_abs_pw
0,0.0962015688419342,4.966159343719482,0.0,-1.0,,0.45,0.36363636363636365,0.4773662551440329,0.0,0.0,0.07888592779636383
100,0.43052923679351807,44.01934051513672,0.0,1.625,,0.58125,0.5857142857142857,0.58,0.0,0.0,0.07302035391330719
200,0.11163416504859924,8.93432903289795,0.0,0.3125,,0.515625,0.56,0.5020408163265306,0.0,0.0,0.08080953359603882
300,0.16638021171092987,15.161871910095215,0.0,0.75,,0.5375,0.48,0.5551020408163265,0.0,0.0,0.24806225299835205
400,0.1491508036851883,13.33647346496582,0.0,2.375,,0.61875,0.48936170212765956,0.672566371681416,0.0,0.0,1.0691707134246826
500,0.2522711753845215,23.838977813720703,0.0,4.3125,,0.715625,0.6625,0.7333333333333333,0.0,0.0,0.9470274448394775
600,0.09500415623188019,5.887121677398682,0.0,3.8125,,0.690625,0.620253164556962,0.7136929460580913,0.0,0.0,0.9141140580177307
700,0.0513458177447319,1.001014232635498,0.0,3.75,,0.6875,0.5,0.7542372881355932,0.0,0.0,0.9058985114097595
800,0.22377391159534454,21.456159591674805,0.0,5.5625,,0.778125,0.6190476190476191,0.8347457627118644,0.0,0.0,0.9380001425743103
900,-0.022166920825839043,-8.454625129699707,0.0,3.4375,,0.671875,0.47191011235955055,0.7489177489177489,0.0,0.0,0.8667589426040649
1000,0.17446208000183105,15.841557502746582,0.0,5.1875,,0.759375,0.6172839506172839,0.8075313807531381,0.0,0.0,0.8446341753005981
1100,0.22972539067268372,22.29124641418457,0.0,6.25,,0.8125,0.6811594202898551,0.848605577689243,0.0,0.0,0.844096839427948
1200,0.16703151166439056,14.11849594116211,0.0,6.0625,,0.803125,0.7126436781609196,0.8369098712446352,0.0,0.0,0.7804498076438904
1300,0.12479196488857269,9.452024459838867,0.0,6.0,,0.8,0.5813953488372093,0.8803418803418803,0.0,0.0,0.7381970882415771
1400,0.20236751437187195,17.7684383392334,0.0,6.0625,,0.803125,0.5979381443298969,0.8923766816143498,0.0,0.0,0.6954853534698486
1500,0.1439933180809021,11.975491523742676,0.0,5.6875,,0.784375,0.6091954022988506,0.8497854077253219,0.0,0.0,0.7095091342926025
1600,0.1783338338136673,16.223939895629883,0.0,6.8125,,0.840625,0.5925925925925926,0.9246861924686193,0.0,0.0,0.757323145866394
1700,0.15649254620075226,12.957518577575684,0.0,6.125,,0.80625,0.6363636363636364,0.8600823045267489,0.0,0.0,0.7611866593360901
1800,0.12227482348680496,9.159473419189453,0.0,5.9375,,0.796875,0.6172839506172839,0.8577405857740585,0.0,0.0,0.7181559205055237
1900,0.12893274426460266,9.478873252868652,0.0,6.0,,0.8,0.6222222222222222,0.8695652173913043,0.0,0.0,0.7435073256492615
2000,0.09435969591140747,6.503232002258301,0.0,6.0625,,0.803125,0.6626506024096386,0.8523206751054853,0.0,0.0,0.7159548997879028
2100,0.17070648074150085,15.213019371032715,0.0,6.75,,0.8375,0.5873015873015873,0.8988326848249028,0.0,0.0,0.6726848483085632
2200,0.17586177587509155,15.782703399658203,0.0,6.9375,,0.846875,0.6511627906976745,0.9188034188034188,0.0,0.0,0.695107638835907
2300,0.19817301630973816,18.738372802734375,0.0,7.0,,0.85,0.6818181818181818,0.9137931034482759,0.0,0.0,0.6749813556671143
2400,0.2047605961561203,19.917736053466797,0.0,7.1875,,0.859375,0.6515151515151515,0.9133858267716536,0.0,0.0,0.7333101630210876
2500,0.17944034934043884,16.584915161132812,0.0,6.6875,,0.834375,0.7142857142857143,0.8724279835390947,0.0,0.0,0.7451856136322021
2600,0.22160476446151733,20.974193572998047,0.0,7.5625,,0.878125,0.7333333333333333,0.9224489795918367,0.0,0.0,0.7154244184494019
2700,0.043799590319395065,-0.7919551730155945,0.0,6.125,,0.80625,0.5555555555555556,0.8790322580645161,0.0,0.0,0.6601595282554626
2800,0.1840958297252655,17.02858543395996,0.0,7.1875,,0.859375,0.6708860759493671,0.921161825726141,0.0,0.0,0.6456802487373352
2900,0.11512243002653122,8.92729663848877,0.0,6.5,,0.825,0.6111111111111112,0.8870967741935484,0.0,0.0,0.7018490433692932
2999,0.2637603282928467,26.43446922302246,0.0,7.9375,,0.896875,0.7402597402597403,0.9465020576131687,0.0,0.0,0.7063647508621216
