experiment,overall,learned,nonlearned,consistent80,consistent100,self_cons_majority,circular_majority,kendall_tau
prev_D_best_train,0.6128478679073377,0.637175326925013,0.6031168843002676,0.6753246753246753,0.33766233766233766,0.8551948051948053,2.896103896103896,0.23171565276828435
prev_G_strong_prior_beta16,0.6418831177429056,0.6689935072821069,0.6310389619272251,0.5454545454545454,0.22077922077922077,0.907792207792208,1.844155844155844,0.36158578263841423
M1_edge_block_balanced,0.5966604865036891,0.6183441592041742,0.587987017423495,0.15584415584415584,0.03896103896103896,0.7207792207792207,5.584415584415584,0.5138658334147056
M1_edge_block_balanced_beta30,0.6485621548829693,0.6657467547852498,0.6416883149220571,0.12987012987012986,0.025974025974025976,0.8370129870129871,3.25974025974026,0.6897763890245093
M2_strong_forgetting,0.5577922123026428,0.5358766276607072,0.566558446159417,0.4155844155844156,0.1038961038961039,0.6798701298701298,6.402597402597403,0.3485987696514013
M2_strong_forgetting_beta30,0.5544990759398201,0.5727272761090623,0.5472077958721232,0.6103896103896104,0.2077922077922078,0.8,4.0,0.5735279757836149
M3_edge_online,0.6590445285424562,0.6977272743310827,0.6435714302270057,0.19480519480519481,0.012987012987012988,0.9162337662337664,1.6753246753246753,0.8235035641050679
M3_edge_online_beta30,0.6500927664733497,0.6435064959230942,0.6527272746934519,0.14285714285714285,0.03896103896103896,0.8441558441558441,3.116883116883117,0.7193145200663998
M4_edge_hybrid,0.6830705020659653,0.7392857144889119,0.6605844170967867,0.18181818181818182,0.025974025974025976,0.9181818181818184,1.6363636363636365,0.8003612928424959
M4_edge_hybrid_beta30,0.6742578857234491,0.7373376624634513,0.6490259750274482,0.45454545454545453,0.12987012987012986,0.9188311688311688,1.6233766233766234,0.8127136021872864
M5_memory_no_forget,0.6512059391941011,0.6694805218124544,0.6438961061467599,0.2077922077922078,0.03896103896103896,0.888961038961039,2.220779220779221,0.8687139927741432
prev_F_more_idio_beta16,0.5916048264431599,0.6444805217906833,0.5704545483041507,0.6883116883116883,0.3246753246753247,0.8077922077922078,3.844155844155844,0.3298017771701982
prev_E_beta16,0.6584879427954748,0.6907467543595023,0.6455844181698638,0.2987012987012987,0.03896103896103896,0.8850649350649351,2.2987012987012987,0.6238160335904698
