pair,rank_a,rank_b,rank_distance,learned_pair,mean_accuracy,subjects_majority_error,beta_alpha,beta_beta,beta_category
A-B,0,1,1,False,0.6259740591049194,27,0.3521349126115639,0.24440786079348326,bimodal
A-C,0,2,2,False,0.8454546332359314,10,0.5762199553660319,0.18263188455001694,bimodal
A-D,0,3,3,False,0.8675324320793152,9,0.5947132572094993,0.17259586381616157,bimodal
A-E,0,4,4,False,0.9116884469985962,5,0.9569877851441503,0.18687889451525894,bimodal
A-F,0,5,5,True,0.9831169247627258,0,17.485665612148388,0.31932252577371073,high_accuracy
A-G,0,6,6,False,0.9662337899208069,2,3.225857806429273,0.20452416703656484,high_accuracy
A-H,0,7,7,True,0.9467532634735107,3,1.5450785402364777,0.18830707493672225,high_accuracy
B-C,1,2,1,True,0.7779220938682556,13,0.4529883233871754,0.2046692801586969,bimodal
B-D,1,3,2,False,0.7909091114997864,14,0.4039050681633772,0.17891051746552644,bimodal
B-E,1,4,3,True,0.9246754050254822,4,0.8232009708674703,0.16721011403758074,bimodal
B-F,1,5,4,False,0.905194878578186,6,0.6495759543466412,0.16198423034415835,bimodal
B-G,1,6,5,False,0.9493506550788879,3,1.1122083630153907,0.16959993211880794,high_accuracy
B-H,1,7,6,False,0.9285714030265808,4,1.0198157642609875,0.18008707485542022,high_accuracy
C-D,2,3,1,False,0.6311688423156738,27,0.3414131299146396,0.23141842035602453,bimodal
C-E,2,4,2,False,0.7467532753944397,17,0.36464336537727576,0.19133280424325433,bimodal
C-F,2,5,3,False,0.8922078609466553,6,0.594253152710094,0.1705228153762704,bimodal
C-G,2,6,4,True,0.9168831706047058,5,0.8033878771817793,0.17291214793978119,bimodal
C-H,2,7,5,False,0.9207792282104492,4,0.7263593715289614,0.17159018987028096,bimodal
D-E,3,4,1,False,0.6246753334999084,26,0.2937882680163698,0.2117750877823345,bimodal
D-F,3,5,2,True,0.8818181753158569,7,0.6178789322983339,0.16713253872050746,bimodal
D-G,3,6,3,True,0.9025974273681641,6,1.0896486151882767,0.19564794130722188,high_accuracy
D-H,3,7,4,False,0.8974027037620544,6,0.593433200697266,0.16504507313427966,bimodal
E-F,4,5,1,False,0.7649351358413696,15,0.36779151917072583,0.1854091163229498,bimodal
E-G,4,6,2,False,0.7896104454994202,15,0.45784717965369187,0.18656943761180061,bimodal
E-H,4,7,3,True,0.9000000357627869,6,0.5887192351635273,0.1642518912511516,bimodal
F-G,5,6,1,False,0.6168830990791321,28,0.2571880233824845,0.19459507078505858,bimodal
F-H,5,7,2,False,0.6922077536582947,24,0.33683817874431987,0.18081308074527006,bimodal
G-H,6,7,1,False,0.6727272868156433,21,0.3089939944152111,0.20937317831215202,bimodal
