panel,dataset,network_seed,x_index,x_label,value,lower,upper,participants,pooling
1E,human,,0,Learned,0.913961038961,0.893015422078,0.933116883117,77,within_dataset_only
1E,human,,1,Nonlearned,0.827727272727,0.803829545455,0.850782467532,77,within_dataset_only
1F,human,,0,A,0.899628942486,0.857699443414,0.936182745826,77,within_dataset_only
1F,human,,1,B,0.879777365492,0.850834879406,0.906864564007,77,within_dataset_only
1F,human,,2,C,0.851948051948,0.822077922078,0.879777365492,77,within_dataset_only
1F,human,,3,D,0.817625231911,0.78905380334,0.846011131725,77,within_dataset_only
1F,human,,4,E,0.812987012987,0.78961038961,0.83599257885,77,within_dataset_only
1F,human,,5,F,0.810575139147,0.776437847866,0.842857142857,77,within_dataset_only
1F,human,,6,G,0.817996289425,0.776437847866,0.856215213358,77,within_dataset_only
1F,human,,7,H,0.928385899814,0.902968460111,0.951020408163,77,within_dataset_only
1G,human,,0,1,0.728756957328,0.701108534323,0.756957328386,77,within_dataset_only
1G,human,,1,2,0.816666666667,0.788311688312,0.845670995671,77,within_dataset_only
1G,human,,2,3,0.892467532468,0.868571428571,0.915584415584,77,within_dataset_only
1G,human,,3,4,0.902922077922,0.874350649351,0.930519480519,77,within_dataset_only
1G,human,,4,5,0.966233766234,0.945887445887,0.98354978355,77,within_dataset_only
1G,human,,5,6,0.953896103896,0.923376623377,0.97987012987,77,within_dataset_only
1G,human,,6,7,0.984415584416,0.963636363636,0.997435064935,77,within_dataset_only
1E,2104,2104,0,Learned,0.925162337662,0.908766233766,0.940422077922,77,within_dataset_only
1E,2104,2104,1,Nonlearned,0.803571428571,0.779805194805,0.826363636364,77,within_dataset_only
1F,2104,2104,0,A,0.879777365492,0.83413729128,0.920593692022,77,within_dataset_only
1F,2104,2104,1,B,0.871985157699,0.845269016698,0.896103896104,77,within_dataset_only
1F,2104,2104,2,C,0.817996289425,0.790538033395,0.844712430427,77,within_dataset_only
1F,2104,2104,3,D,0.799257884972,0.775881261596,0.822448979592,77,within_dataset_only
1F,2104,2104,4,E,0.79814471243,0.771238404453,0.824304267161,77,within_dataset_only
1F,2104,2104,5,F,0.803525046382,0.775139146568,0.830241187384,77,within_dataset_only
1F,2104,2104,6,G,0.859925788497,0.837662337662,0.881632653061,77,within_dataset_only
1F,2104,2104,7,H,0.875881261596,0.839517625232,0.909281076067,77,within_dataset_only
1G,2104,2104,0,1,0.668645640074,0.6426716141,0.694248608534,77,within_dataset_only
1G,2104,2104,1,2,0.807142857143,0.776623376623,0.835930735931,77,within_dataset_only
1G,2104,2104,2,3,0.887532467532,0.86025974026,0.913506493506,77,within_dataset_only
1G,2104,2104,3,4,0.919480519481,0.894155844156,0.943189935065,77,within_dataset_only
1G,2104,2104,4,5,0.95974025974,0.941125541126,0.97619047619,77,within_dataset_only
1G,2104,2104,5,6,0.982467532468,0.966883116883,0.994155844156,77,within_dataset_only
1G,2104,2104,6,7,0.98961038961,0.980519480519,0.996103896104,77,within_dataset_only
1E,2105,2105,0,Learned,0.931493506494,0.917857142857,0.944805194805,77,within_dataset_only
1E,2105,2105,1,Nonlearned,0.80525974026,0.782402597403,0.827402597403,77,within_dataset_only
1F,2105,2105,0,A,0.877922077922,0.83413729128,0.918371985158,77,within_dataset_only
1F,2105,2105,1,B,0.866604823748,0.843413729128,0.888311688312,77,within_dataset_only
1F,2105,2105,2,C,0.821706864564,0.795547309833,0.847309833024,77,within_dataset_only
1F,2105,2105,3,D,0.802968460111,0.778107606679,0.827829313544,77,within_dataset_only
1F,2105,2105,4,E,0.806307977737,0.779220779221,0.832096474954,77,within_dataset_only
1F,2105,2105,5,F,0.804081632653,0.775881261596,0.830612244898,77,within_dataset_only
1F,2105,2105,6,G,0.869202226345,0.844155844156,0.891651205937,77,within_dataset_only
1F,2105,2105,7,H,0.881818181818,0.846192022263,0.914471243043,77,within_dataset_only
1G,2105,2105,0,1,0.675881261596,0.651948051948,0.699628942486,77,within_dataset_only
1G,2105,2105,1,2,0.799783549784,0.770995670996,0.828571428571,77,within_dataset_only
1G,2105,2105,2,3,0.896883116883,0.874545454545,0.918961038961,77,within_dataset_only
1G,2105,2105,3,4,0.921753246753,0.897402597403,0.945454545455,77,within_dataset_only
1G,2105,2105,4,5,0.9670995671,0.950216450216,0.981818181818,77,within_dataset_only
1G,2105,2105,5,6,0.97987012987,0.962987012987,0.992857142857,77,within_dataset_only
1G,2105,2105,6,7,0.994805194805,0.98961038961,0.998701298701,77,within_dataset_only
