dataset,network_seed,row_position,subject_id,item_1,item_2,pair_accuracy,error_proportion,displayed_as_error
human,,0,1,A,B,1,0,false
human,,0,1,A,C,1,0,false
human,,0,1,A,D,1,0,false
human,,0,1,A,E,1,0,false
human,,0,1,A,F,1,0,false
human,,0,1,A,G,1,0,false
human,,0,1,A,H,1,0,false
human,,0,1,B,C,1,0,false
human,,0,1,B,D,1,0,false
human,,0,1,B,E,0.9,0.1,false
human,,0,1,B,F,1,0,false
human,,0,1,B,G,1,0,false
human,,0,1,B,H,1,0,false
human,,0,1,C,D,1,0,false
human,,0,1,C,E,0.9,0.1,false
human,,0,1,C,F,1,0,false
human,,0,1,C,G,1,0,false
human,,0,1,C,H,1,0,false
human,,0,1,D,E,0,1,true
human,,0,1,D,F,1,0,false
human,,0,1,D,G,1,0,false
human,,0,1,D,H,0.1,0.9,true
human,,0,1,E,F,1,0,false
human,,0,1,E,G,1,0,false
human,,0,1,E,H,1,0,false
human,,0,1,F,G,0.3,0.7,true
human,,0,1,F,H,0,1,true
human,,0,1,G,H,0,1,true
human,,1,2,A,B,1,0,false
human,,1,2,A,C,1,0,false
human,,1,2,A,D,1,0,false
human,,1,2,A,E,1,0,false
human,,1,2,A,F,1,0,false
human,,1,2,A,G,1,0,false
human,,1,2,A,H,1,0,false
human,,1,2,B,C,1,0,false
human,,1,2,B,D,1,0,false
human,,1,2,B,E,1,0,false
human,,1,2,B,F,1,0,false
human,,1,2,B,G,1,0,false
human,,1,2,B,H,1,0,false
human,,1,2,C,D,0.8,0.2,false
human,,1,2,C,E,0,1,true
human,,1,2,C,F,1,0,false
human,,1,2,C,G,1,0,false
human,,1,2,C,H,1,0,false
human,,1,2,D,E,0,1,true
human,,1,2,D,F,1,0,false
human,,1,2,D,G,1,0,false
human,,1,2,D,H,1,0,false
human,,1,2,E,F,1,0,false
human,,1,2,E,G,1,0,false
human,,1,2,E,H,1,0,false
human,,1,2,F,G,1,0,false
human,,1,2,F,H,1,0,false
human,,1,2,G,H,0.9,0.1,false
human,,2,3,A,B,1,0,false
human,,2,3,A,C,1,0,false
human,,2,3,A,D,1,0,false
human,,2,3,A,E,1,0,false
human,,2,3,A,F,1,0,false
human,,2,3,A,G,1,0,false
human,,2,3,A,H,1,0,false
human,,2,3,B,C,1,0,false
human,,2,3,B,D,0.9,0.1,false
human,,2,3,B,E,1,0,false
human,,2,3,B,F,1,0,false
human,,2,3,B,G,1,0,false
human,,2,3,B,H,1,0,false
human,,2,3,C,D,0.8,0.2,false
human,,2,3,C,E,1,0,false
human,,2,3,C,F,0.9,0.1,false
human,,2,3,C,G,0.9,0.1,false
human,,2,3,C,H,1,0,false
human,,2,3,D,E,0.9,0.1,false
human,,2,3,D,F,0.3,0.7,true
human,,2,3,D,G,1,0,false
human,,2,3,D,H,1,0,false
human,,2,3,E,F,0,1,true
human,,2,3,E,G,0.2,0.8,true
human,,2,3,E,H,0.9,0.1,false
human,,2,3,F,G,1,0,false
human,,2,3,F,H,1,0,false
human,,2,3,G,H,0.9,0.1,false
human,,3,4,A,B,0,1,true
human,,3,4,A,C,0,1,true
human,,3,4,A,D,0,1,true
human,,3,4,A,E,0,1,true
human,,3,4,A,F,0.5,0.5,true
human,,3,4,A,G,0,1,true
human,,3,4,A,H,0.9,0.1,false
human,,3,4,B,C,1,0,false
human,,3,4,B,D,1,0,false
human,,3,4,B,E,1,0,false
human,,3,4,B,F,1,0,false
human,,3,4,B,G,1,0,false
human,,3,4,B,H,1,0,false
human,,3,4,C,D,1,0,false
human,,3,4,C,E,1,0,false
human,,3,4,C,F,1,0,false
human,,3,4,C,G,1,0,false
human,,3,4,C,H,1,0,false
human,,3,4,D,E,0,1,true
human,,3,4,D,F,1,0,false
human,,3,4,D,G,0.1,0.9,true
human,,3,4,D,H,1,0,false
human,,3,4,E,F,1,0,false
human,,3,4,E,G,1,0,false
human,,3,4,E,H,1,0,false
human,,3,4,F,G,0,1,true
human,,3,4,F,H,1,0,false
human,,3,4,G,H,1,0,false
human,,4,5,A,B,0,1,true
human,,4,5,A,C,0,1,true
human,,4,5,A,D,1,0,false
human,,4,5,A,E,1,0,false
human,,4,5,A,F,1,0,false
human,,4,5,A,G,1,0,false
human,,4,5,A,H,1,0,false
human,,4,5,B,C,1,0,false
human,,4,5,B,D,1,0,false
human,,4,5,B,E,1,0,false
human,,4,5,B,F,1,0,false
human,,4,5,B,G,1,0,false
human,,4,5,B,H,1,0,false
human,,4,5,C,D,1,0,false
human,,4,5,C,E,1,0,false
human,,4,5,C,F,1,0,false
human,,4,5,C,G,1,0,false
human,,4,5,C,H,1,0,false
human,,4,5,D,E,0,1,true
human,,4,5,D,F,1,0,false
human,,4,5,D,G,0,1,true
human,,4,5,D,H,1,0,false
human,,4,5,E,F,1,0,false
human,,4,5,E,G,1,0,false
human,,4,5,E,H,1,0,false
human,,4,5,F,G,0,1,true
human,,4,5,F,H,0.1,0.9,true
human,,4,5,G,H,1,0,false
human,,5,6,A,B,1,0,false
human,,5,6,A,C,1,0,false
human,,5,6,A,D,1,0,false
human,,5,6,A,E,1,0,false
human,,5,6,A,F,1,0,false
human,,5,6,A,G,1,0,false
human,,5,6,A,H,1,0,false
human,,5,6,B,C,0.1,0.9,true
human,,5,6,B,D,0.1,0.9,true
human,,5,6,B,E,1,0,false
human,,5,6,B,F,1,0,false
human,,5,6,B,G,1,0,false
human,,5,6,B,H,1,0,false
human,,5,6,C,D,0,1,true
human,,5,6,C,E,1,0,false
human,,5,6,C,F,1,0,false
human,,5,6,C,G,1,0,false
human,,5,6,C,H,1,0,false
human,,5,6,D,E,1,0,false
human,,5,6,D,F,1,0,false
human,,5,6,D,G,1,0,false
human,,5,6,D,H,1,0,false
human,,5,6,E,F,0.5,0.5,true
human,,5,6,E,G,0,1,true
human,,5,6,E,H,0.9,0.1,false
human,,5,6,F,G,0,1,true
human,,5,6,F,H,1,0,false
human,,5,6,G,H,1,0,false
human,,6,7,A,B,1,0,false
human,,6,7,A,C,1,0,false
human,,6,7,A,D,0.9,0.1,false
human,,6,7,A,E,1,0,false
human,,6,7,A,F,1,0,false
human,,6,7,A,G,1,0,false
human,,6,7,A,H,1,0,false
human,,6,7,B,C,1,0,false
human,,6,7,B,D,0.6,0.4,false
human,,6,7,B,E,1,0,false
human,,6,7,B,F,1,0,false
human,,6,7,B,G,1,0,false
human,,6,7,B,H,1,0,false
human,,6,7,C,D,0.5,0.5,true
human,,6,7,C,E,0.9,0.1,false
human,,6,7,C,F,0.8,0.2,false
human,,6,7,C,G,0.9,0.1,false
human,,6,7,C,H,0.9,0.1,false
human,,6,7,D,E,0.8,0.2,false
human,,6,7,D,F,0.9,0.1,false
human,,6,7,D,G,1,0,false
human,,6,7,D,H,1,0,false
human,,6,7,E,F,0.5,0.5,true
human,,6,7,E,G,1,0,false
human,,6,7,E,H,1,0,false
human,,6,7,F,G,1,0,false
human,,6,7,F,H,1,0,false
human,,6,7,G,H,0.8,0.2,false
human,,7,8,A,B,0,1,true
human,,7,8,A,C,0,1,true
human,,7,8,A,D,0,1,true
human,,7,8,A,E,1,0,false
human,,7,8,A,F,1,0,false
human,,7,8,A,G,0,1,true
human,,7,8,A,H,1,0,false
human,,7,8,B,C,1,0,false
human,,7,8,B,D,0,1,true
human,,7,8,B,E,1,0,false
human,,7,8,B,F,1,0,false
human,,7,8,B,G,1,0,false
human,,7,8,B,H,1,0,false
human,,7,8,C,D,0,1,true
human,,7,8,C,E,1,0,false
human,,7,8,C,F,1,0,false
human,,7,8,C,G,1,0,false
human,,7,8,C,H,1,0,false
human,,7,8,D,E,1,0,false
human,,7,8,D,F,1,0,false
human,,7,8,D,G,1,0,false
human,,7,8,D,H,1,0,false
human,,7,8,E,F,0.1,0.9,true
human,,7,8,E,G,0,1,true
human,,7,8,E,H,1,0,false
human,,7,8,F,G,0,1,true
human,,7,8,F,H,1,0,false
human,,7,8,G,H,1,0,false
human,,8,9,A,B,1,0,false
human,,8,9,A,C,1,0,false
human,,8,9,A,D,1,0,false
human,,8,9,A,E,1,0,false
human,,8,9,A,F,1,0,false
human,,8,9,A,G,1,0,false
human,,8,9,A,H,1,0,false
human,,8,9,B,C,0,1,true
human,,8,9,B,D,0,1,true
human,,8,9,B,E,0,1,true
human,,8,9,B,F,0.3,0.7,true
human,,8,9,B,G,1,0,false
human,,8,9,B,H,1,0,false
human,,8,9,C,D,0.6,0.4,false
human,,8,9,C,E,0.5,0.5,true
human,,8,9,C,F,1,0,false
human,,8,9,C,G,1,0,false
human,,8,9,C,H,1,0,false
human,,8,9,D,E,0.8,0.2,false
human,,8,9,D,F,1,0,false
human,,8,9,D,G,1,0,false
human,,8,9,D,H,1,0,false
human,,8,9,E,F,1,0,false
human,,8,9,E,G,1,0,false
human,,8,9,E,H,1,0,false
human,,8,9,F,G,1,0,false
human,,8,9,F,H,0.9,0.1,false
human,,8,9,G,H,0.8,0.2,false
human,,9,10,A,B,1,0,false
human,,9,10,A,C,1,0,false
human,,9,10,A,D,1,0,false
human,,9,10,A,E,1,0,false
human,,9,10,A,F,1,0,false
human,,9,10,A,G,1,0,false
human,,9,10,A,H,1,0,false
human,,9,10,B,C,1,0,false
human,,9,10,B,D,1,0,false
human,,9,10,B,E,1,0,false
