row_type,dataset,network_seed,ranking_class,count,eligible_subjects,kendall_tau,subject_id,pair_index,item_1,item_2,pair_accuracy,kendall_tau_to_true,row_position,subjective_rank_high_to_low,item
ranking_class,human,,correct,8,77,,,,,,,,,,
ranking_class,human,,self_consistent_incorrect,64,77,,,,,,,,,,
ranking_class,human,,self_inconsistent,5,77,,,,,,,,,,
ranking_class,2104,2104,correct,6,77,,,,,,,,,,
ranking_class,2104,2104,self_consistent_incorrect,59,77,,,,,,,,,,
ranking_class,2104,2104,self_inconsistent,12,77,,,,,,,,,,
ranking_class,2105,2105,correct,4,77,,,,,,,,,,
ranking_class,2105,2105,self_consistent_incorrect,65,77,,,,,,,,,,
ranking_class,2105,2105,self_inconsistent,8,77,,,,,,,,,,
pairwise_similarity,human,,,,,0.642857142857,,,,,,,,,
pairwise_similarity,human,,,,,0.428571428571,,,,,,,,,
pairwise_similarity,human,,,,,0.285714285714,,,,,,,,,
pairwise_similarity,human,,,,,0.642857142857,,,,,,,,,
pairwise_similarity,human,,,,,0.357142857143,,,,,,,,,
pairwise_similarity,human,,,,,0.571428571429,,,,,,,,,
pairwise_similarity,human,,,,,0.142857142857,,,,,,,,,
pairwise_similarity,human,,,,,0.285714285714,,,,,,,,,
pairwise_similarity,human,,,,,0.642857142857,,,,,,,,,
pairwise_similarity,human,,,,,0.571428571429,,,,,,,,,
pairwise_similarity,human,,,,,0.357142857143,,,,,,,,,
pairwise_similarity,human,,,,,0.5,,,,,,,,,
pairwise_similarity,human,,,,,0.571428571429,,,,,,,,,
pairwise_similarity,human,,,,,0.571428571429,,,,,,,,,
pairwise_similarity,human,,,,,0.357142857143,,,,,,,,,
pairwise_similarity,human,,,,,0.785714285714,,,,,,,,,
pairwise_similarity,human,,,,,0.214285714286,,,,,,,,,
pairwise_similarity,human,,,,,0.357142857143,,,,,,,,,
pairwise_similarity,human,,,,,0.571428571429,,,,,,,,,
pairwise_similarity,human,,,,,0.285714285714,,,,,,,,,
pairwise_similarity,human,,,,,0.357142857143,,,,,,,,,
pairwise_similarity,human,,,,,0.928571428571,,,,,,,,,
pairwise_similarity,human,,,,,0.642857142857,,,,,,,,,
pairwise_similarity,human,,,,,0.357142857143,,,,,,,,,
pairwise_similarity,human,,,,,0.785714285714,,,,,,,,,
pairwise_similarity,human,,,,,0.357142857143,,,,,,,,,
pairwise_similarity,human,,,,,0.285714285714,,,,,,,,,
pairwise_similarity,human,,,,,0.714285714286,,,,,,,,,
pairwise_similarity,human,,,,,0.571428571429,,,,,,,,,
pairwise_similarity,human,,,,,0.714285714286,,,,,,,,,
pairwise_similarity,human,,,,,0.714285714286,,,,,,,,,
pairwise_similarity,human,,,,,0.571428571429,,,,,,,,,
pairwise_similarity,human,,,,,0.285714285714,,,,,,,,,
pairwise_similarity,human,,,,,0.714285714286,,,,,,,,,
pairwise_similarity,human,,,,,0.285714285714,,,,,,,,,
pairwise_similarity,human,,,,,0.5,,,,,,,,,
pairwise_similarity,human,,,,,0.714285714286,,,,,,,,,
pairwise_similarity,human,,,,,0.214285714286,,,,,,,,,
pairwise_similarity,human,,,,,0.642857142857,,,,,,,,,
pairwise_similarity,human,,,,,0.785714285714,,,,,,,,,
pairwise_similarity,human,,,,,0.642857142857,,,,,,,,,
pairwise_similarity,human,,,,,0.642857142857,,,,,,,,,
pairwise_similarity,human,,,,,0.5,,,,,,,,,
pairwise_similarity,human,,,,,0.785714285714,,,,,,,,,
pairwise_similarity,human,,,,,0.428571428571,,,,,,,,,
pairwise_similarity,human,,,,,0.714285714286,,,,,,,,,
pairwise_similarity,human,,,,,0.642857142857,,,,,,,,,
pairwise_similarity,human,,,,,0.571428571429,,,,,,,,,
pairwise_similarity,human,,,,,0.285714285714,,,,,,,,,
pairwise_similarity,human,,,,,0.714285714286,,,,,,,,,
pairwise_similarity,human,,,,,0.357142857143,,,,,,,,,
pairwise_similarity,human,,,,,0.642857142857,,,,,,,,,
pairwise_similarity,human,,,,,0.642857142857,,,,,,,,,
pairwise_similarity,human,,,,,0.285714285714,,,,,,,,,
