network_seed,subject,pair_index,item_1,item_2,learned,symbolic_distance,pair_accuracy
2104,0,0,A,B,false,1,0
2104,0,1,A,C,false,2,0
2104,0,2,A,D,false,3,0
2104,0,3,A,E,false,4,0
2104,0,4,A,F,true,5,0
2104,0,5,A,G,false,6,0.8
2104,0,6,A,H,true,7,0.9
2104,0,7,B,C,true,1,0.9
2104,0,8,B,D,false,2,0.6
2104,0,9,B,E,true,3,1
2104,0,10,B,F,false,4,1
2104,0,11,B,G,false,5,1
2104,0,12,B,H,false,6,1
2104,0,13,C,D,false,1,0
2104,0,14,C,E,false,2,1
2104,0,15,C,F,false,3,1
2104,0,16,C,G,true,4,1
2104,0,17,C,H,false,5,1
2104,0,18,D,E,false,1,1
2104,0,19,D,F,true,2,1
2104,0,20,D,G,true,3,1
2104,0,21,D,H,false,4,1
2104,0,22,E,F,false,1,0
2104,0,23,E,G,false,2,1
2104,0,24,E,H,true,3,1
2104,0,25,F,G,false,1,1
2104,0,26,F,H,false,2,1
2104,0,27,G,H,false,1,0.8
2104,1,0,A,B,false,1,0.5
2104,1,1,A,C,false,2,1
2104,1,2,A,D,false,3,1
2104,1,3,A,E,false,4,1
2104,1,4,A,F,true,5,1
2104,1,5,A,G,false,6,1
2104,1,6,A,H,true,7,1
2104,1,7,B,C,true,1,1
2104,1,8,B,D,false,2,1
2104,1,9,B,E,true,3,1
2104,1,10,B,F,false,4,1
2104,1,11,B,G,false,5,1
2104,1,12,B,H,false,6,1
2104,1,13,C,D,false,1,1
2104,1,14,C,E,false,2,0.3
2104,1,15,C,F,false,3,1
2104,1,16,C,G,true,4,1
2104,1,17,C,H,false,5,0.5
2104,1,18,D,E,false,1,0
2104,1,19,D,F,true,2,1
2104,1,20,D,G,true,3,0.6
2104,1,21,D,H,false,4,0.3
2104,1,22,E,F,false,1,1
2104,1,23,E,G,false,2,0.9
2104,1,24,E,H,true,3,0.8
2104,1,25,F,G,false,1,0
2104,1,26,F,H,false,2,0
2104,1,27,G,H,false,1,0.1
2104,2,0,A,B,false,1,0.7
2104,2,1,A,C,false,2,1
2104,2,2,A,D,false,3,0.3
2104,2,3,A,E,false,4,1
2104,2,4,A,F,true,5,1
2104,2,5,A,G,false,6,1
2104,2,6,A,H,true,7,1
2104,2,7,B,C,true,1,0.8
2104,2,8,B,D,false,2,0.9
2104,2,9,B,E,true,3,1
2104,2,10,B,F,false,4,1
2104,2,11,B,G,false,5,1
2104,2,12,B,H,false,6,1
2104,2,13,C,D,false,1,0.4
2104,2,14,C,E,false,2,1
2104,2,15,C,F,false,3,0.8
2104,2,16,C,G,true,4,1
2104,2,17,C,H,false,5,1
2104,2,18,D,E,false,1,0.9
2104,2,19,D,F,true,2,0.8
2104,2,20,D,G,true,3,1
2104,2,21,D,H,false,4,1
2104,2,22,E,F,false,1,0
2104,2,23,E,G,false,2,0.3
2104,2,24,E,H,true,3,1
2104,2,25,F,G,false,1,1
2104,2,26,F,H,false,2,1
2104,2,27,G,H,false,1,1
2104,3,0,A,B,false,1,1
2104,3,1,A,C,false,2,1
2104,3,2,A,D,false,3,1
2104,3,3,A,E,false,4,1
2104,3,4,A,F,true,5,1
2104,3,5,A,G,false,6,1
2104,3,6,A,H,true,7,1
2104,3,7,B,C,true,1,1
2104,3,8,B,D,false,2,1
2104,3,9,B,E,true,3,1
2104,3,10,B,F,false,4,1
2104,3,11,B,G,false,5,1
2104,3,12,B,H,false,6,1
2104,3,13,C,D,false,1,0.8
2104,3,14,C,E,false,2,1
2104,3,15,C,F,false,3,1
2104,3,16,C,G,true,4,1
2104,3,17,C,H,false,5,1
2104,3,18,D,E,false,1,1
2104,3,19,D,F,true,2,1
2104,3,20,D,G,true,3,1
2104,3,21,D,H,false,4,1
2104,3,22,E,F,false,1,0
2104,3,23,E,G,false,2,1
2104,3,24,E,H,true,3,1
2104,3,25,F,G,false,1,1
2104,3,26,F,H,false,2,0.9
2104,3,27,G,H,false,1,0
2104,4,0,A,B,false,1,1
2104,4,1,A,C,false,2,1
2104,4,2,A,D,false,3,1
2104,4,3,A,E,false,4,1
2104,4,4,A,F,true,5,1
2104,4,5,A,G,false,6,1
2104,4,6,A,H,true,7,1
2104,4,7,B,C,true,1,0.7
2104,4,8,B,D,false,2,0.4
2104,4,9,B,E,true,3,1
2104,4,10,B,F,false,4,1
2104,4,11,B,G,false,5,0.9
2104,4,12,B,H,false,6,1
2104,4,13,C,D,false,1,0.5
2104,4,14,C,E,false,2,1
2104,4,15,C,F,false,3,1
2104,4,16,C,G,true,4,1
2104,4,17,C,H,false,5,1
2104,4,18,D,E,false,1,0.9
2104,4,19,D,F,true,2,1
2104,4,20,D,G,true,3,1
2104,4,21,D,H,false,4,1
2104,4,22,E,F,false,1,1
2104,4,23,E,G,false,2,0.9
2104,4,24,E,H,true,3,1
2104,4,25,F,G,false,1,0.3
2104,4,26,F,H,false,2,1
2104,4,27,G,H,false,1,1
2104,5,0,A,B,false,1,0.7
2104,5,1,A,C,false,2,1
